timestamp,zone_name,crowd_count,density_per_m2,temperature,humidity,festival_day,weekend,queue_length,entry_rate,exit_rate,risk_level,target_next_density
2026-06-01 00:00:00,Food Court,300,0.38,20.1,76.0,1,0,70,13,12,LOW,0.39
2026-06-01 00:00:00,Main Sanctum,650,2.6,20.1,76.0,1,0,363,39,37,MODERATE,2.24
2026-06-01 00:00:00,North Entry Gate,753,1.88,20.1,76.0,1,0,307,82,39,MODERATE,1.97
2026-06-01 00:00:00,Parking Area,1099,0.44,20.1,76.0,1,0,29,56,58,LOW,0.4
2026-06-01 00:00:00,South Exit,538,1.54,20.1,76.0,1,0,54,17,83,MODERATE,1.56
2026-06-01 00:00:00,VIP Entrance,163,0.81,20.1,76.0,1,0,25,9,7,LOW,0.89
2026-06-01 00:30:00,Food Court,313,0.39,19.9,82.0,1,0,70,16,17,LOW,0.39
2026-06-01 00:30:00,Main Sanctum,560,2.24,19.9,82.0,1,0,293,33,29,MODERATE,2.28
2026-06-01 00:30:00,North Entry Gate,787,1.97,19.9,82.0,1,0,301,96,32,MODERATE,1.69
2026-06-01 00:30:00,Parking Area,992,0.4,19.9,82.0,1,0,22,51,53,LOW,0.33
2026-06-01 00:30:00,South Exit,545,1.56,19.9,82.0,1,0,53,14,73,MODERATE,1.33
2026-06-01 00:30:00,VIP Entrance,178,0.89,19.9,82.0,1,0,26,10,7,LOW,0.94
2026-06-01 01:00:00,Food Court,312,0.39,20.3,86.6,1,0,62,19,14,LOW,0.32
2026-06-01 01:00:00,Main Sanctum,570,2.28,20.3,86.6,1,0,312,25,25,MODERATE,1.91
2026-06-01 01:00:00,North Entry Gate,676,1.69,20.3,86.6,1,0,291,88,35,MODERATE,1.72
2026-06-01 01:00:00,Parking Area,824,0.33,20.3,86.6,1,0,21,37,46,LOW,0.33
2026-06-01 01:00:00,South Exit,467,1.33,20.3,86.6,1,0,48,15,69,LOW,1.1
2026-06-01 01:00:00,VIP Entrance,189,0.94,20.3,86.6,1,0,27,8,8,LOW,0.86
2026-06-01 01:30:00,Food Court,257,0.32,20.1,81.1,1,0,60,12,11,LOW,0.34
2026-06-01 01:30:00,Main Sanctum,477,1.91,20.1,81.1,1,0,212,25,24,MODERATE,1.84
2026-06-01 01:30:00,North Entry Gate,687,1.72,20.1,81.1,1,0,294,78,31,MODERATE,1.53
2026-06-01 01:30:00,Parking Area,826,0.33,20.1,81.1,1,0,20,38,41,LOW,0.26
2026-06-01 01:30:00,South Exit,386,1.1,20.1,81.1,1,0,27,11,55,LOW,1.05
2026-06-01 01:30:00,VIP Entrance,172,0.86,20.1,81.1,1,0,23,8,10,LOW,0.69
2026-06-01 02:00:00,Food Court,269,0.34,20.4,73.7,1,0,67,11,15,LOW,0.26
2026-06-01 02:00:00,Main Sanctum,461,1.84,20.4,73.7,1,0,280,23,27,MODERATE,1.56
2026-06-01 02:00:00,North Entry Gate,614,1.53,20.4,73.7,1,0,260,75,24,MODERATE,1.12
2026-06-01 02:00:00,Parking Area,642,0.26,20.4,73.7,1,0,17,34,29,LOW,0.24
2026-06-01 02:00:00,South Exit,367,1.05,20.4,73.7,1,0,31,12,54,LOW,1.03
2026-06-01 02:00:00,VIP Entrance,137,0.69,20.4,73.7,1,0,21,7,8,LOW,0.66
2026-06-01 02:30:00,Food Court,209,0.26,21.5,76.0,1,0,49,11,11,LOW,0.22
2026-06-01 02:30:00,Main Sanctum,390,1.56,21.5,76.0,1,0,254,18,21,MODERATE,1.34
2026-06-01 02:30:00,North Entry Gate,450,1.12,21.5,76.0,1,0,194,55,22,LOW,0.97
2026-06-01 02:30:00,Parking Area,597,0.24,21.5,76.0,1,0,19,26,25,LOW,0.18
2026-06-01 02:30:00,South Exit,362,1.03,21.5,76.0,1,0,31,12,52,LOW,0.8
2026-06-01 02:30:00,VIP Entrance,131,0.66,21.5,76.0,1,0,19,8,7,LOW,0.56
